NewID,OriginalID#,Word,Curse_Quality,Concreteness,Frequency,Valence,Arousal,Dominance,Body_Other,Receptacle_Other,Vehicle_Other,Animate_Not,Dwelling_Not,Profession_Not,Animal_Other,Manufactured_Other,N_Lett,N_Syll,N_Phones,OrthDensity,NClustersPerSyll,NStopsPerSyllable,NClosedSyllPerSyll
74,148,canal,3.448275862,589,6.39,5.71,4.05,5.81,0,0,0,0,0,0,0,1,5,2,5,3,0,0.5,0.5
66,135,butter,3.448275862,602,20.43,6.36,3.37,5.67,0,0,0,0,0,0,0,1,6,2,4,14,0,1,0.5
162,332,flame,3.436781609,624,9.04,5.9,6.6,4.64,0,0,0,0,0,0,0,0,5,1,4,7,1,0,1
94,186,cherry,3.425287356,629,13.59,7.05,4.91,5.63,0,0,0,0,0,0,0,0,6,2,6,2,0,0.5,0
47,100,boot,3.402298851,600,11.14,5.3,3.95,6.24,0,1,0,0,0,0,0,1,4,1,3,22,0,2,1
387,820,skin,3.390804598,611,44.04,5.78,3.25,5,1,0,0,0,0,0,0,0,4,1,4,11,1,1,1
439,922,toad,3.390804598,586,5.69,6,3.62,4.84,0,0,0,1,0,0,1,0,4,1,3,6,0,2,1
77,152,candy,3.390804598,573,35.78,7.27,5.03,6.46,0,0,0,0,0,0,0,1,5,2,5,7,0,1,0.5
359,757,rug,3.379310345,565,10.41,5,3.24,5.68,0,0,0,0,0,0,0,1,3,1,3,18,0,1,1
375,794,shark,3.379310345,623,14.98,4.02,5.27,4.87,0,0,0,1,0,0,1,0,5,1,4,9,1,1,1
